Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:05:30,2018-02-27 06:05:45,15.128s,PASSED
,,,,,,
Test Cases/TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:05:31,2018-02-27 06:05:44,13.294s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-27 06:05:32,2018-02-27 06:05:38,5.623s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-27 06:05:38,2018-02-27 06:05:42,4.113s,PASSED
click,Chrome 64.0.3282.167,,2018-02-27 06:05:42,2018-02-27 06:05:43,1.583s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-27 06:05:43,2018-02-27 06:05:44,0.423s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-27 06:05:44,2018-02-27 06:05:44,0.302s,PASSED
click,Chrome 64.0.3282.167,,2018-02-27 06:05:44,2018-02-27 06:05:44,0.273s,PASSED
