Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:15:29,2018-02-27 06:15:43,14.258s,PASSED
,,,,,,
Test Cases/TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:15:30,2018-02-27 06:15:42,12.551s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-27 06:15:31,2018-02-27 06:15:35,4.380s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-27 06:15:35,2018-02-27 06:15:39,4.205s,PASSED
click,Chrome 64.0.3282.167,,2018-02-27 06:15:39,2018-02-27 06:15:41,1.960s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-27 06:15:41,2018-02-27 06:15:42,0.466s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-27 06:15:42,2018-02-27 06:15:42,0.379s,PASSED
click,Chrome 64.0.3282.167,,2018-02-27 06:15:42,2018-02-27 06:15:42,0.288s,PASSED
