Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:33:54,2018-02-27 06:34:01,6.971s,ERROR
,,,,,,
Test Cases/TC_1_Login,Chrome 64.0.3282.167,,2018-02-27 06:33:55,2018-02-27 06:34:00,5.342s,ERROR
openBrowser,Chrome 64.0.3282.167,,2018-02-27 06:33:56,2018-02-27 06:34:00,4.316s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-27 06:34:00,2018-02-27 06:34:00,0.005s,PASSED
